Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
779,442,89,78,6,5,65,157,0,17,7,94,67,64,0,0
853,494,88,76,5,5,50,102,0,15,4,76,60,70,1,0
827,445,80,218,12,13,80,93,168,20,8,110,115,109,0,0
721,526,92,96,7,4,55,71,73,12,0,75,109,985,2,0
813,517,86,166,6,5,50,117,32,17,0,87,91,578,0,0
1087,702,92,5,0,0,10,51,0,7,5,58,28,55,0,0
973,680,96,28,2,1,20,54,0,8,3,53,42,41,3,0
804,536,90,15,2,1,15,96,0,8,4,76,38,37,0,0
443,308,87,0,1,1,20,56,0,11,0,67,39,90,5,0
653,438,94,9,4,2,40,48,0,7,3,53,43,61,0,0
762,517,88,29,1,1,15,38,0,10,4,53,33,NA,2,0
827,544,90,22,2,2,30,65,0,11,3,77,51,73,2,0
598,390,92,38,2,1,15,48,40,10,0,69,48,50,0,0
1069,660,93,6,1,1,15,74,0,10,0,69,20,84,0,0
500,301,85,51,1,3,25,58,0,13,5,65,50,340,0,0
468,282,89,28,4,2,30,79,0,16,0,74,36,150,3,0
